t,energy,stability,error
0.0,0.08149635576032968,0.9246448170386715,0.0033208280011071106
0.005000416701391783,0.08379857338012571,0.9226806756916309,0.0035111004502721564
0.010000833402783566,0.09964901477530096,0.9093810721090285,0.004964963072844074
0.01500125010417535,0.1605247355255563,0.8616791778652947,0.012884095357774898
0.02000166680556713,0.16545900318778323,0.8580310395001309,0.01368834086794743
0.025002083506958914,0.12376627385372901,0.8898647550354953,0.007659045271818123
0.0300025002083507,0.19770361252829174,0.8349311044399795,0.019543359203368457
0.03500291690974248,0.2075260129164574,0.8281395094626297,0.02153352301850082
0.04000333361113426,0.16444200941346007,0.8587804217950785,0.013520587229968245
0.04500375031252605,0.17840110454325292,0.8486074869962031,0.015913477051126328
0.05000416701391783,0.2553173694017831,0.7966112987638706,0.03259347955912329
0.05500458371530961,0.25637669514181227,0.7959396285101628,0.03286450490591888
0.0600050004167014,0.25338777600427803,0.7978376837118498,0.03210268251419709
0.06500541711809318,0.2721409631389588,0.7860764089637822,0.03703035190910007
0.07000583381948496,0.2739779610762641,0.7849429350843669,0.037531961577753445
0.07500625052087674,0.331582714734717,0.7509860175672405,0.054973548355422355
0.08000666722226853,0.263370554291747,0.7915334076791158,0.034682024433971025
0.08500708392366031,0.2956516089997737,0.7718124170524414,0.04370493695207754
0.0900075006250521,0.3419301292872524,0.7451952811664911,0.058458106657198576
0.09500791732644387,0.3622144859260244,0.7340987857137686,0.06559966690732706
0.10000833402783565,0.35644356162988017,0.737221973908311,0.06352600631369709
0.10500875072922744,0.40975812670736106,0.7093415395558709,0.08395086120136289
0.11000916743061923,0.40319162505419104,0.7126610379828772,0.08128174325691968
0.11500958413201101,0.39258825003343223,0.7180873456141776,0.07706276703215635
0.1200100008334028,0.46332976166042034,0.6833729663676857,0.10733723402015095
0.12501041753479458,0.43749304322149934,0.6956555405367014,0.09570008143360435
0.13001083423618637,0.44565975814406567,0.6917256943527275,0.09930631001451355
0.13501125093757813,0.49612097425537993,0.6683951479910911,0.12306801054805368
0.1400116676389699,0.48386056685197715,0.6739177671669708,0.11706052407715832
