name,baseline_s,vectorized_s,speedup,flat_time_s,curved_time_s,efficiency_gain_pct,harmonic_s
flowform_v4,0.38857126235961914,0.23131895065307617,1.679807294572147,,,,
thermal_diff,,,1.0003220734579434,0.82639479637146,0.8261287212371826,-1.83003977708514e+33,
whitehole_latency,0.15010905265808105,,0.8939567282851244,,,,0.16791534423828125
